State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Chittoor,Gur(Jaggery),"NO 2",FAQ,30/03/2025,3400,3500,3500
"Andhra Pradesh",Chittor,Palamaner,Brinjal,Brinjal,FAQ,30/03/2025,2000,3000,2500
"Andhra Pradesh",Chittor,Palamaner,Cabbage,Cabbage,FAQ,30/03/2025,600,1000,800
"Andhra Pradesh",Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,30/03/2025,700,1100,900
"Andhra Pradesh",Chittor,Palamaner,Potato,"(Red Nanital)",FAQ,30/03/2025,1400,1800,1600
Assam,Nalbari,Kumrikata,"Bhindi(Ladies Finger)",Bhindi,Local,30/03/2025,2800,3000,3000
Assam,Nalbari,Kumrikata,Brinjal,Brinjal,Local,30/03/2025,1200,1800,1600
Assam,Nalbari,Kumrikata,Lemon,Lemon,Local,30/03/2025,1667.5,2001,1867.6
Assam,Sibsagar,Sibsagar,Cauliflower,Cauliflower,Local,30/03/2025,1300,1500,1500
Assam,Sibsagar,Sibsagar,Lemon,Lemon,Local,30/03/2025,3535.1,3735.2,3735.2
Assam,Sonitpur,Bindukuri,"Bottle gourd","Bottle Gourd",Local,30/03/2025,666.7,1000.05,1000.05
Assam,Sonitpur,Bindukuri,Pumpkin,Pumpkin,Local,30/03/2025,800,900,900
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,30/03/2025,400,1000,800
Chattisgarh,Dhamtari,Kurud,Paddy(Dhan)(Common),"Swarna Masuri (New)",FAQ,30/03/2025,2160,2300,2255
Chattisgarh,Kondagaon,Pharasgaon,Paddy(Dhan)(Common),"Paddy Coarse",Non-FAQ,30/03/2025,1900,2000,1950
Gujarat,Amreli,Damnagar,Brinjal,Other,FAQ,30/03/2025,1050,2050,1600
Gujarat,Amreli,Damnagar,"Green Chilli","Green Chilly",FAQ,30/03/2025,1850,2550,2200
Haryana,Faridabad,Ballabhgarh,Carrot,Other,FAQ,30/03/2025,700,1000,800
Haryana,Faridabad,Ballabhgarh,Cucumbar(Kheera),Other,FAQ,30/03/2025,1000,1500,1200
Haryana,Faridabad,Ballabhgarh,Tinda,Other,FAQ,30/03/2025,700,1000,800
Haryana,Faridabad,Ballabhgarh,"Water Melon",Other,Medium,30/03/2025,1000,1500,1200
Haryana,Gurgaon,Gurgaon,Carrot,Other,FAQ,30/03/2025,800,1800,1400
Haryana,Gurgaon,Gurgaon,Onion,Other,FAQ,30/03/2025,2000,3000,2500
Haryana,Gurgaon,Gurgaon,Onion,Other,Non-FAQ,30/03/2025,1500,2500,2000
Haryana,Gurgaon,Gurgaon,Pomegranate,Other,Large,30/03/2025,5000,7000,6000
Haryana,Gurgaon,Gurgaon,Potato,Other,Non-FAQ,30/03/2025,700,900,800
Haryana,Gurgaon,Gurgaon,Tomato,Other,FAQ,30/03/2025,800,1200,1000
Haryana,Hissar,Barwala(Hisar),Apple,Other,Medium,30/03/2025,7000,8000,7500
Haryana,Hissar,Barwala(Hisar),Cabbage,Other,FAQ,30/03/2025,700,800,750
Haryana,Hissar,Barwala(Hisar),Coriander(Leaves),Coriander,FAQ,30/03/2025,900,1000,950
Haryana,Hissar,Barwala(Hisar),"Leafy Vegetable",Other,FAQ,30/03/2025,800,1000,900
Haryana,Hissar,Barwala(Hisar),"Peas Wet",Other,FAQ,30/03/2025,2900,3000,2950
Haryana,Hissar,Barwala(Hisar),Pomegranate,Other,Medium,30/03/2025,9000,10000,9500
Haryana,Hissar,Barwala(Hisar),Potato,Other,FAQ,30/03/2025,900,1000,950
Haryana,Hissar,Barwala(Hisar),Pumpkin,Other,FAQ,30/03/2025,900,1000,950
Haryana,Hissar,Barwala(Hisar),"Squash(Chappal Kadoo)",Other,FAQ,30/03/2025,700,800,750
Haryana,Hissar,Barwala(Hisar),Tomato,Other,FAQ,30/03/2025,1000,1250,1150
Haryana,Hissar,Hansi,"Bhindi(Ladies Finger)",Other,FAQ,30/03/2025,6000,8000,7000
Haryana,Hissar,Hansi,"Bottle gourd",Other,FAQ,30/03/2025,800,1000,900
Haryana,Hissar,Hansi,Capsicum,Other,FAQ,30/03/2025,2000,3000,2500
Haryana,Hissar,Hansi,Cauliflower,Other,FAQ,30/03/2025,400,800,600
Haryana,Hissar,Hansi,Onion,Other,Non-FAQ,30/03/2025,1500,2500,2000
Haryana,Hissar,Hansi,Orange,Other,Medium,30/03/2025,6000,10000,8000
Haryana,Mahendragarh-Narnaul,Narnaul,"Bottle gourd","Bottle Gourd",FAQ,30/03/2025,700,1000,800
Haryana,Mahendragarh-Narnaul,Narnaul,Cabbage,Cabbage,FAQ,30/03/2025,800,1000,1000
Haryana,Mahendragarh-Narnaul,Narnaul,Coriander(Leaves),Coriander,FAQ,30/03/2025,2000,4000,4000
Haryana,Mahendragarh-Narnaul,Narnaul,Papaya,Papaya,Medium,30/03/2025,3000,3000,3000
Haryana,Mahendragarh-Narnaul,Narnaul,Pomegranate,Pomogranate,Medium,30/03/2025,8000,10000,10000
Haryana,Mahendragarh-Narnaul,Narnaul,Raddish,Raddish,FAQ,30/03/2025,1000,1000,1000
Haryana,Mewat,FerozpurZirkha(Nagina),Tomato,Other,FAQ,30/03/2025,600,1000,800
Haryana,Palwal,Hassanpur,Cauliflower,Cauliflower,FAQ,30/03/2025,900,1100,1000
Haryana,Palwal,Hassanpur,Potato,Potato,Non-FAQ,30/03/2025,800,1000,900
Haryana,Panipat,Samalkha,Coriander(Leaves),Coriander,FAQ,30/03/2025,1200,1200,1200
Haryana,Panipat,Samalkha,Lemon,Lemon,FAQ,30/03/2025,9800,9800,9800
"Himachal Pradesh",Kullu,Bhuntar,Cauliflower,Other,FAQ,30/03/2025,500,1000,800
"Himachal Pradesh",Kullu,Bhuntar,Coriander(Leaves),Other,FAQ,30/03/2025,3000,3500,3200
"Himachal Pradesh",Kullu,Bhuntar,Ginger(Dry),Other,FAQ,30/03/2025,5500,6000,5800
"Himachal Pradesh",Kullu,Bhuntar,"Peas Wet",Other,FAQ,30/03/2025,4000,4500,4200
"Himachal Pradesh",Kullu,Bhuntar,Tomato,Other,FAQ,30/03/2025,1500,1800,1600
Kerala,Ernakulam,Perumbavoor,Banana,Palayamthodan,Medium,30/03/2025,2300,3300,2700
Kerala,Ernakulam,Perumbavoor,"Bitter gourd","Bitter Gourd",FAQ,30/03/2025,2700,3700,3000
